id,streetName,latitude,longitude
160,Avda. d'Eduard Maristany,41.411026,2.219377
161,Ramon Turro,41.395009,2.196308
162,Ramon Turro,41.403908,2.208436
163,Avda. Icaria,41.3942,2.20077
164,Independència,41.411901,2.177895
165,Carrer del Doctor Trueta,41.399196,2.204253
166,Bilbao,41.400533,2.206539
167,Bac de Roda,41.402561,2.210538
168,Selva de Mar,41.405358,2.213677
169,Avda. Litoral,41.389896,2.200055
170,Avda. Litoral,41.389732,2.199934
171,Passeig Marítim de la Nova Icària,41.391986,2.203699
172,Passeig Marítim de la Nova Icària,41.391831,2.203436
173,Avda. Litoral,41.398027,2.208982
174,Passeig de Garcia Fària,41.40061,2.210461
175,Llull / Provençals,41.40666,2.20956
176,Passeig de Garcia Fària,41.402541,2.212641
177,Rosselló,41.411089,2.181119
178,Passeig de Garcia Fària,41.405389,2.216212
179,Pg. Zona Franca,41.363511,2.13677
180,Gran Via,41.36778,2.13926
181,Gran Via,41.36766,2.13911
182,Gran Via,41.371455,2.143882
183,Gavà,41.372338,2.141875
184,Quetzal,41.367504,2.134088
185,Gavà,41.37046,2.138994
186,Consell de Cent,41.375571,2.143812
187,Carrer de Sant Pau,41.376858,2.169811
188,Pl. Sants (Ps. S. Antoni),41.375802,2.135973
189,Bruc,41.396918,2.166163
190,Avinguda Litoral,41.39606,2.207803
191,Rocafort,41.382564,2.149094
192,Joan Güell,41.378629,2.133467
193,Figols,41.381311,2.128912
194,Joan Güell,41.381013,2.132319
195,Vallespir,41.381888,2.135433
196,Berlín,41.383241,2.139363
197,Gelabert,41.38712,2.141039
198,Vallespir,41.38451,2.133617
199,Mejía Lequerica,41.38182,2.126933
200,Can bruixa,41.383756,2.131273
201,Numància,41.387787,2.134341
202,Carrer de les Corts,41.385331,2.128737
203,Avda. Diagonal,41.388742,2.128503
204,Avda. Diagonal,41.388011,2.125593
205,Europa,41.387465,2.130838
206,Avda. Diagonal,41.389845,2.13284
207,Avda. Diagonal,41.390828,2.136665
208,Avda. Diagonal,41.391451,2.139116
209,Diputació,41.385755,2.161004
210,Vilardell,41.37453,2.142356
211,Sancho de Ávila,41.398848,2.190291
212,Av. Sarrià,41.39239,2.130945
213,Sant Fe de Nou Mèxic,41.393783,2.135078
214,José de Agulló,41.395251,2.133541
215,Carrer de Ganduxer,41.39412,2.138146
216,Madrazo,41.396809,2.144534
217,Rector Ubach,41.398463,2.143924
218,Consell de Cent,41.404114,2.183203
219,Carre Laforja,41.397698,2.147358
220,Tuset,41.396229,2.151482
221,Gran de Gràcia,41.402535,2.152519
222,Carrer del Canó,41.40124,2.157483
